id,name,meaning,gender,origin,PeoplesCount,WhenPeoplesCount,Source
28496,abriana,Variant of Italian.,Female,Italian,690,04.07.2016 13:58:15,myData.biz
28497,abrianna,Mother of many nations.,Female,Unknown,795,04.07.2016 13:58:23,myData.biz
28498,abriell,Variant of Gabrielle.,Male,Unknown,48,04.07.2016 13:58:32,myData.biz
28499,abrihet,"Tigrinya of Ethiopia female name meaning &quot;she has made it light, she emanates light.&quot;",Female,African,49,04.07.2016 13:58:39,myData.biz
28500,abril,The month April: symbolizes spring.,Female,Spanish,58000,04.07.2016 13:58:47,myData.biz
28501,absalom,father is peace,Male,Hebrew,1000,04.07.2016 13:58:57,myData.biz
28502,absalom,Father of peace. In the bible Absalom son of King David was renowned for handsome appearance and ability to win loyalty and allegiance.,Male,Hebrew,1000,04.07.2016 13:59:03,myData.biz
28503,absyrtus,myth name (brother of Medea),Male,Greek,8,04.07.2016 13:59:11,myData.biz
28504,abu al khayr,one who does good,Male,Arabic,5,04.07.2016 13:59:20,myData.biz
28505,abu bakr,Companion of Muhammad,Male,Arabic,3000,04.07.2016 13:59:27,myData.biz
28506,abubakar,noble,Male,Egyptian,45000,04.07.2016 13:59:35,myData.biz
28507,abukcheech,Algonquin name meaning &quot; mouse.&quot;,Male,Native,2,04.07.2016 13:59:43,myData.biz
28508,abukcheech,Mouse (Algonquin),Male,Native American,2,04.07.2016 13:59:51,myData.biz
28509,abydos,from Abydos,Male,Greek,263,04.07.2016 14:00:00,myData.biz
28510,acacia,"&quot;Resurrection&quot; or &quot;guileless.&quot;Name of a blossoming tree that symbolizes rebirth. Some variants are Cacia, Cacie, Casey, Cassie, Cassy, Kacia, Kacie, Kacey, Kassie, and Kassy.",Female,Greek,17000,04.07.2016 14:00:07,myData.biz
28511,acacia,&quot;thorny.&quot;,Female,African,17000,04.07.2016 14:00:15,myData.biz
28512,acacia,Honorable. Biblical: acacia wood was used to build the wilderness Tabernacle.,Female,Spanish,17000,04.07.2016 14:00:23,myData.biz
28513,academia,named for Ciceros villa ACARNANIA,Female,Latin,177000,04.07.2016 14:00:31,myData.biz
28514,acair,Anchor,Male,Scottish,29,04.07.2016 14:00:40,myData.biz
28515,acaiseid,Anchor,Male,Scottish,0,04.07.2016 14:00:47,myData.biz
28516,acantha,thorn,Female,Greek,145,04.07.2016 14:00:56,myData.biz
28517,acastus,myth name (an Argonaut),Male,Greek,54,04.07.2016 14:01:03,myData.biz
28518,acca,&quot;From Acca.&quot;,Female,Anglo,83000,04.07.2016 14:01:11,myData.biz
28519,acca,From Acca,Female,Anglo-Saxon,83000,04.07.2016 14:01:19,myData.biz
28520,accalon,lover of Margan le Fay (fifteenth century),Male,Arthurian,63,04.07.2016 14:01:27,myData.biz
28521,accalon,Lover of Morgan le Fay,Male,Arthurian Legend,63,04.07.2016 14:01:35,myData.biz
28522,ace,A nickname given to one who excels: also an English surname meaning noble.,Male,English,282000,04.07.2016 14:01:43,myData.biz
28523,ace,unity,Male,Anglo,282000,04.07.2016 14:01:51,myData.biz
28524,ace,Unity,Male,Anglo-Saxon,282000,04.07.2016 14:01:59,myData.biz
28525,acel,Adherent of a nobleman,Male,French,2000,04.07.2016 14:02:08,myData.biz
28526,aceline,"&quot;Noble, highborn.&quot; Variant Asceline exists.",Female,French,265,04.07.2016 14:02:16,myData.biz
28527,aceline,Noble,Female,French,265,04.07.2016 14:02:23,myData.biz
28528,acennan,brings,Male,Anglo,5,04.07.2016 14:02:31,myData.biz
